datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precip.,Condition_int
2017-05-14,36,20,30,109,36,14,24,39,87.99397590361446,73.23493975903614,63.33132530120482,9.331325301204819,0.0,29.456927710843377,0.0,2.4457831325301207
2017-05-21,30,26,9,139,32,3,26,38,87.28571428571429,74.32298136645963,66.4472049689441,13.360248447204969,0.0,29.56645962732919,0.0,1.7515527950310559
2017-05-28,29,20,22,119,37,0,23,40,88.38364779874213,75.59748427672956,66.87421383647799,13.79874213836478,0.0,28.977044025157234,0.0,2.238993710691824
2017-06-04,28,17,22,132,38,8,43,24,89.70063694267516,76.97452229299363,67.45859872611464,8.0828025477707,0.0,29.446942675159235,0.0,2.840764331210191
2017-06-11,28,25,24,106,33,0,36,37,89.81944444444444,74.72222222222223,61.78472222222222,12.48611111111111,0.0,28.71277777777778,0.0,2.7777777777777777
2017-06-18,19,27,11,87,37,3,32,40,89.1006289308176,75.01886792452831,63.729559748427675,14.861635220125786,0.0,28.745345911949688,0.0,3.3270440251572326
2017-06-25,26,13,19,108,26,2,21,32,88.27096774193548,75.16774193548387,65.07096774193549,12.148387096774194,0.0,28.466645161290323,0.0,3.129032258064516
2017-07-02,32,20,28,93,39,0,34,30,87.15094339622641,75.40251572327044,67.61006289308176,8.446540880503145,0.0,29.19754716981132,0.0,5.132075471698113
2017-07-09,30,20,21,106,59,1,15,18,87.34375,74.75625,66.825,15.56875,0.0,29.46825,0.0,3.975
2017-07-16,25,33,12,109,39,5,25,13,84.83850931677019,76.1055900621118,75.45962732919254,13.857142857142858,0.0,29.109130434782607,0.0,6.801242236024844
2017-07-23,41,23,21,117,43,8,31,25,85.78571428571429,76.33928571428571,74.20238095238095,8.964285714285714,0.0,29.233511904761908,0.0,4.982142857142857
2017-07-30,30,19,11,99,52,1,7,13,84.79268292682927,75.23780487804878,73.46951219512195,10.445121951219512,0.0,29.471646341463416,0.0,4.823170731707317
2017-08-06,40,15,13,112,40,2,13,17,85.2760736196319,74.58282208588957,70.91411042944786,11.134969325153374,0.0,29.096687116564418,0.0,4.343558282208589
2017-08-13,18,23,21,104,66,5,12,10,84.60479041916167,74.32335329341318,71.93413173652695,10.976047904191617,0.0,29.50443113772455,0.0,5.077844311377246
2017-08-20,34,20,24,114,56,0,20,14,85.3855421686747,72.43373493975903,65.87951807228916,12.283132530120483,0.0,29.549939759036146,0.0,3.036144578313253
2017-08-27,39,24,12,165,60,2,18,12,84.84848484848484,75.16363636363636,73.67272727272727,9.236363636363636,0.0,29.312363636363635,0.0,4.127272727272727
2017-09-03,53,25,27,124,48,3,16,14,85.44910179640719,74.8443113772455,72.77245508982035,8.311377245508982,0.0,29.29850299401198,0.0,6.089820359281437
2017-09-10,34,28,24,179,42,1,8,20,84.0670731707317,72.92073170731707,70.15853658536585,9.810975609756097,0.0,28.374268292682927,0.0,2.6280487804878048
2017-09-17,26,18,24,150,73,3,30,18,85.22784810126582,72.39873417721519,67.60759493670886,7.943037974683544,0.0,29.652784810126583,0.0,2.0063291139240507
2017-09-24,38,27,10,214,45,7,13,18,84.77300613496932,71.79754601226993,67.06134969325153,5.539877300613497,0.0,29.239938650306748,0.0,2.2208588957055215
2017-10-01,20,22,18,318,42,13,98,4,83.05389221556887,70.92814371257485,67.36526946107784,7.017964071856287,0.0,29.699700598802398,0.0,2.07185628742515
2017-10-08,31,19,23,300,48,4,49,12,85.10240963855422,66.63855421686748,58.98192771084337,4.704819277108434,0.0,29.528313253012048,0.0,2.180722891566265
2017-10-15,33,13,15,220,41,3,52,11,86.61585365853658,58.76829268292683,46.81707317073171,3.2865853658536586,0.0,29.45335365853659,0.0,5.0426829268292686
2017-10-22,27,18,22,265,71,5,42,10,84.15757575757576,68.61212121212121,64.66666666666667,4.703030303030303,0.0,29.709636363636363,0.0,6.303030303030303
2017-10-29,30,13,29,243,47,1,73,12,82.78313253012048,67.18072289156626,63.2289156626506,6.168674698795181,0.0,29.65180722891566,0.0,3.716867469879518
2017-11-05,27,28,18,209,34,3,35,11,80.49079754601227,49.32515337423313,39.785276073619634,3.3803680981595092,0.0,29.871472392638037,0.0,4.1656441717791415
2017-11-12,37,21,27,181,42,3,50,8,78.36144578313252,54.475903614457835,48.92168674698795,2.3674698795180724,0.0,29.846867469879516,0.0,5.548192771084337
2017-11-19,34,23,21,182,39,3,69,9,73.44242424242424,45.945454545454545,41.696969696969695,5.490909090909091,0.0,29.678242424242423,0.0,3.4606060606060605
2017-11-26,44,27,19,198,62,3,21,7,69.92121212121212,40.68484848484849,40.04848484848485,3.618181818181818,0.0,29.916666666666668,0.0,3.1575757575757577
2017-12-03,34,21,26,203,33,3,40,17,70.7560975609756,39.1890243902439,35.21951219512195,3.701219512195122,0.0,28.975304878048778,0.0,3.573170731707317
2017-12-10,26,17,27,215,50,1,64,13,67.37125748502994,23.562874251497007,21.694610778443113,9.431137724550899,0.0,29.71868263473054,0.0,3.179640718562874
2017-12-17,38,24,24,238,53,2,34,12,64.51204819277109,35.36144578313253,38.524096385542165,10.644578313253012,0.0,29.998253012048192,0.0,3.7710843373493974
2017-12-24,22,18,21,165,38,0,32,5,69.15337423312883,40.45398773006135,39.441717791411044,9.01840490797546,0.0,28.73098159509202,0.0,3.312883435582822
2017-12-31,47,31,29,300,68,3,63,11,68.48125,37.80625,38.35,6.43125,0.0,29.759875,0.0,4.00625
2018-01-07,28,15,11,230,31,0,39,16,64.63095238095238,43.982142857142854,51.226190476190474,4.529761904761905,0.0,29.872083333333336,0.0,5.648809523809524
2018-01-14,32,28,28,253,50,6,44,6,68.94610778443113,41.50898203592814,41.634730538922156,6.173652694610778,0.0,29.762814371257488,0.0,5.407185628742515
2018-01-21,33,15,21,221,47,2,75,9,67.65269461077844,42.41317365269461,44.221556886227546,6.347305389221557,0.0,29.711796407185627,0.0,3.9880239520958085
2018-01-28,24,24,27,308,64,0,47,13,67.37125748502994,48.25748502994012,55.532934131736525,5.083832335329341,0.0,29.653592814371255,0.0,3.802395209580838
2018-02-04,23,34,25,302,63,3,34,16,68.66666666666667,47.21604938271605,53.98765432098765,4.771604938271605,0.0,29.726543209876542,0.0,4.845679012345679
2018-02-11,38,23,27,346,64,0,68,7,68.32716049382717,39.56172839506173,41.32098765432099,5.95679012345679,0.0,29.886728395061727,0.0,3.580246913580247
2018-02-18,29,37,25,327,62,1,48,6,72.24096385542168,53.15060240963855,54.98795180722892,5.4397590361445785,0.0,29.977168674698795,0.0,4.903614457831325
2018-02-25,27,24,24,216,48,0,70,11,76.39490445859873,62.732484076433124,66.71974522292993,6.86624203821656,0.0,29.81343949044586,0.0,6.484076433121019
2018-03-04,19,19,32,255,115,16,68,14,78.46107784431138,55.47305389221557,48.15568862275449,6.317365269461078,0.0,29.804790419161673,0.0,3.179640718562874
2018-03-11,35,25,33,220,91,17,68,16,79.24698795180723,47.94578313253012,39.204819277108435,6.596385542168675,0.0,29.8155421686747,0.0,1.7409638554216869
2018-03-18,29,17,19,208,67,2,55,24,78.7289156626506,60.94578313253012,57.33734939759036,9.542168674698795,0.0,29.591385542168677,0.0,2.6927710843373496
2018-03-25,28,18,25,242,50,3,58,17,80.31547619047619,57.642857142857146,52.69642857142857,8.05952380952381,0.0,29.11797619047619,0.0,1.8214285714285714
2018-04-01,42,21,20,224,114,16,48,20,84.7030303030303,60.11515151515152,49.551515151515154,7.533333333333333,0.0,29.721757575757575,0.0,2.1636363636363636
2018-04-08,38,20,23,201,83,7,60,37,83.0,69.46385542168674,65.78915662650603,8.873493975903614,0.0,29.671927710843374,0.0,2.427710843373494
2018-04-15,37,17,21,174,64,3,52,54,86.6969696969697,64.97575757575757,53.88484848484848,8.084848484848484,0.0,29.676181818181817,0.0,2.521212121212121
2018-04-22,29,20,10,210,51,0,28,38,86.79629629629629,54.925925925925924,40.617283950617285,9.703703703703704,0.0,29.729074074074074,0.0,1.037037037037037
2018-04-29,47,20,25,155,59,3,66,55,85.41317365269461,67.03592814371258,58.69461077844311,10.419161676646707,0.0,29.67940119760479,0.0,1.2934131736526946
2018-05-06,27,23,17,134,53,0,26,66,88.59146341463415,69.76829268292683,57.6890243902439,10.823170731707316,0.0,29.604024390243904,0.0,2.4878048780487805
2018-05-13,51,22,25,160,66,4,31,51,87.01807228915662,72.98192771084338,64.22289156626506,11.975903614457831,0.0,29.65024096385542,0.0,1.2590361445783131
2018-05-20,27,19,16,155,59,7,47,39,91.01212121212122,66.08484848484848,49.86666666666667,10.381818181818181,0.0,29.58072727272727,0.0,2.7151515151515153
2018-05-27,28,16,23,127,58,2,26,35,90.5521472392638,55.39877300613497,38.0,15.56441717791411,0.0,29.580858895705525,0.0,0.9202453987730062
2018-06-03,43,15,14,137,58,4,45,41,90.46060606060605,70.06060606060606,56.0,9.703030303030303,0.0,29.132484848484847,0.0,2.9272727272727272
2018-06-10,28,22,17,138,61,6,23,24,88.89696969696969,77.2,68.84848484848484,14.624242424242425,0.0,29.43345454545455,0.0,5.133333333333334
2018-06-17,28,26,20,124,55,0,13,29,88.29518072289157,74.56626506024097,64.39156626506023,15.210843373493976,0.0,28.171867469879516,0.0,5.536144578313253
2018-06-24,26,25,20,143,45,3,29,32,88.4060606060606,74.56363636363636,64.21818181818182,12.236363636363636,0.0,29.450181818181818,0.0,2.896969696969697
2018-07-01,28,19,20,125,66,5,31,23,88.43452380952381,74.79166666666667,64.94047619047619,8.625,0.0,29.398095238095237,0.0,4.964285714285714
2018-07-08,25,27,21,129,77,3,40,33,88.11656441717791,73.79754601226993,63.09815950920245,14.822085889570552,0.0,29.240429447852758,0.0,4.208588957055214
2018-07-15,32,27,22,189,62,9,11,23,87.10843373493977,73.62650602409639,64.83734939759036,10.53012048192771,0.0,29.363253012048194,0.0,4.518072289156627
2018-07-22,28,25,16,146,59,2,24,29,86.8896103896104,74.0,66.12337662337663,12.155844155844155,0.0,28.436168831168832,0.0,4.590909090909091
2018-07-29,37,17,16,124,55,3,3,24,84.53333333333333,72.52727272727273,67.41818181818182,12.83030303030303,0.0,29.412666666666667,0.0,4.987878787878788
2018-08-05,23,15,18,103,54,8,9,25,83.9423076923077,71.8076923076923,66.75,14.5,0.0,29.481923076923078,0.0,6.512820512820513
2018-08-12,35,24,27,142,61,2,8,17,83.86503067484662,72.70552147239263,69.52147239263803,10.56441717791411,0.0,28.730736196319015,0.0,5.638036809815951
2018-08-19,29,29,15,165,54,7,28,18,84.04268292682927,73.78048780487805,71.5548780487805,10.567073170731707,0.0,29.431036585365856,0.0,5.560975609756097
2018-08-26,30,24,15,196,43,2,74,24,82.94409937888199,73.36024844720497,73.5776397515528,11.857142857142858,0.0,29.48391304347826,0.0,5.447204968944099
2018-09-02,25,15,18,158,50,4,34,15,82.98125,71.64375,69.1125,11.71875,0.0,29.549,0.0,4.46875
2018-09-09,31,14,17,214,62,0,42,21,82.62111801242236,69.84472049689441,65.7888198757764,12.403726708074535,0.0,29.602981366459627,0.0,3.2857142857142856
2018-09-16,40,16,19,245,71,6,42,17,82.89156626506023,71.2710843373494,68.63855421686748,11.644578313253012,0.0,29.67427710843374,0.0,3.4759036144578315
2018-09-23,32,27,16,221,64,3,47,28,84.11976047904191,69.81437125748504,63.92215568862275,8.982035928143713,0.0,29.67994011976048,0.0,1.970059880239521
2018-09-30,35,33,26,315,53,2,67,17,84.05421686746988,72.43373493975903,69.09036144578313,10.198795180722891,0.0,29.54656626506024,0.0,2.144578313253012
2018-10-07,29,27,15,263,60,3,63,9,84.49397590361446,67.16265060240964,61.86144578313253,6.668674698795181,0.0,29.74674698795181,0.0,3.0120481927710845
2018-10-14,31,25,20,235,87,7,56,22,85.59281437125749,58.40718562874252,44.06586826347306,5.6706586826347305,0.0,29.755329341317367,0.0,4.700598802395209
2018-10-21,30,24,13,233,49,9,62,25,85.1717791411043,57.80368098159509,45.97546012269939,4.754601226993865,0.0,29.817730061349693,0.0,3.245398773006135
2018-10-28,30,25,18,301,71,6,116,14,82.83333333333333,63.04761904761905,57.333333333333336,5.565476190476191,0.0,29.870773809523808,0.0,3.125
2018-11-04,45,18,15,240,42,3,46,12,81.96407185628742,45.862275449101794,32.287425149700596,5.37125748502994,0.0,29.85251497005988,0.0,2.532934131736527
2018-11-11,39,16,34,244,70,5,93,9,77.8622754491018,52.73053892215569,49.131736526946106,5.083832335329341,0.0,29.864251497005988,0.0,4.149700598802395
2018-11-18,35,24,27,235,63,5,100,7,79.63636363636364,56.4969696969697,51.412121212121214,4.86060606060606,0.0,29.821757575757577,0.0,5.13939393939394
2018-11-25,39,25,22,197,53,6,65,11,78.0969696969697,45.32727272727273,35.660606060606064,6.624242424242424,0.0,29.938363636363636,0.0,4.260606060606061
2018-12-02,30,30,19,243,55,6,70,23,75.08641975308642,52.074074074074076,49.00617283950617,5.006172839506172,0.0,29.91987654320988,0.0,5.197530864197531
2018-12-09,22,19,15,219,57,0,50,9,72.58895705521472,51.355828220858896,51.19631901840491,5.374233128834356,0.0,29.868220858895707,0.0,4.791411042944786
2018-12-16,22,19,18,247,51,5,98,11,68.2060606060606,43.99393939393939,45.28484848484848,9.89090909090909,0.0,29.828,0.0,4.078787878787879
2018-12-23,34,14,14,230,53,9,58,9,64.1358024691358,32.79012345679013,34.81481481481482,5.950617283950617,0.0,29.980802469135803,0.0,3.734567901234568
2018-12-30,40,25,17,333,65,10,96,8,66.17682926829268,38.03048780487805,39.68292682926829,5.426829268292683,0.0,29.972134146341464,0.0,3.1463414634146343
2019-01-06,39,29,22,282,51,2,54,11,68.57668711656441,46.00613496932515,48.41717791411043,5.858895705521473,0.0,30.021288343558282,0.0,5.269938650306749
2019-01-13,35,26,17,344,71,3,46,6,66.21604938271605,44.24074074074074,46.623456790123456,6.802469135802469,0.0,29.968518518518515,0.0,5.277777777777778
2019-01-20,49,45,26,371,69,3,121,13,68.3048780487805,45.71341463414634,47.146341463414636,7.5,0.0,29.7709756097561,0.0,5.865853658536586
2019-01-27,37,51,22,476,69,9,93,9,63.333333333333336,44.24242424242424,54.46666666666667,6.090909090909091,0.0,29.821454545454547,0.0,5.709090909090909
2019-02-03,51,46,29,331,62,5,131,13,64.57575757575758,44.987878787878785,50.97575757575758,8.690909090909091,0.0,30.029999999999998,0.0,3.721212121212121
2019-02-10,30,39,26,292,50,4,62,14,66.01840490797547,33.3680981595092,33.93251533742331,9.16564417177914,0.0,29.78711656441718,0.0,3.705521472392638
2019-02-17,31,32,30,248,76,0,30,15,69.61676646706587,42.47904191616767,42.17365269461078,8.904191616766466,0.0,29.95173652694611,0.0,3.245508982035928
2019-02-24,19,19,15,202,71,3,31,13,72.85714285714286,54.546583850931675,56.42857142857143,8.180124223602485,0.0,29.878260869565214,0.0,3.347826086956522
2019-03-03,23,12,18,172,48,5,38,20,70.87248322147651,50.79865771812081,52.671140939597315,7.120805369127517,0.0,29.78536912751678,0.0,3.053691275167785
2019-03-10,26,12,19,223,66,5,25,32,72.21818181818182,54.557575757575755,56.21212121212121,6.509090909090909,0.0,29.835454545454546,0.0,3.315151515151515
2019-03-17,40,19,19,248,66,5,88,31,74.33333333333333,44.46666666666667,38.09090909090909,6.993939393939394,0.0,29.934424242424246,0.0,2.0424242424242425
2019-03-24,34,15,13,195,68,2,74,45,78.50898203592814,55.796407185628745,48.73053892215569,7.508982035928144,0.0,29.83431137724551,0.0,1.7544910179640718
2019-03-31,28,36,15,157,64,4,53,45,84.0925925925926,53.123456790123456,38.27777777777778,6.993827160493828,0.0,29.81141975308642,0.0,2.0185185185185186
2019-04-07,31,19,25,162,58,1,37,52,84.11392405063292,65.75316455696202,57.15822784810127,6.955696202531645,0.0,29.71392405063291,0.0,2.1582278481012658
2019-04-14,28,26,14,122,68,3,42,38,84.71951219512195,66.67682926829268,57.71341463414634,8.182926829268293,0.0,29.71707317073171,0.0,2.091463414634146
2019-04-21,28,21,11,112,80,8,36,32,81.8695652173913,61.2360248447205,52.49689440993789,11.136645962732919,0.0,29.740372670807453,0.0,2.4161490683229814
2019-04-28,55,11,19,160,64,6,62,36,84.65625,67.88125,59.65,10.0,0.0,29.7111875,0.0,1.325
2019-05-05,24,24,26,153,51,7,54,42,88.32515337423312,59.263803680981596,44.41717791411043,8.631901840490798,0.0,29.617668711656442,0.0,3.4662576687116564
2019-05-12,34,18,21,148,73,8,118,23,84.9079754601227,71.48466257668711,65.43558282208589,12.269938650306749,0.0,29.660368098159513,0.0,2.4723926380368098
2019-05-19,37,15,22,156,68,5,56,23,86.31055900621118,70.0248447204969,59.91925465838509,11.434782608695652,0.0,29.66801242236025,0.0,2.627329192546584
2019-05-26,40,20,22,176,48,5,65,34,87.71604938271605,72.5679012345679,62.22222222222222,11.617283950617283,0.0,29.642777777777777,0.0,1.9259259259259258
2019-06-02,25,10,19,126,29,3,27,22,89.30281690140845,75.61971830985915,65.52816901408451,10.32394366197183,0.0,29.542957746478876,0.0,1.1830985915492958
2019-06-09,33,11,28,146,47,7,38,25,90.01333333333334,76.1,65.27333333333333,11.093333333333334,0.0,29.541200000000003,0.0,0.7333333333333333
2019-06-16,35,19,24,121,43,1,22,55,91.69325153374233,73.77914110429448,57.760736196319016,9.233128834355828,0.0,27.974049079754604,0.0,4.0552147239263805
2019-06-23,30,24,20,136,48,9,31,30,90.16770186335404,75.37888198757764,62.72670807453416,10.546583850931677,0.0,29.280496894409936,0.0,3.7888198757763973
2019-06-30,31,25,19,129,41,6,28,27,90.43975903614458,74.69277108433735,60.7289156626506,13.433734939759036,0.0,28.934638554216864,0.0,4.096385542168675
2019-07-07,33,15,18,128,42,1,17,26,89.14110429447852,75.62576687116564,65.06134969325153,12.208588957055214,0.0,29.206625766871166,0.0,4.466257668711656
2019-07-14,43,27,28,150,53,8,15,21,89.34131736526946,74.05389221556887,61.383233532934135,16.54491017964072,0.41916167664670656,29.231676646706585,0.0,5.730538922155689
2019-07-21,46,15,16,147,55,2,15,28,88.64242424242424,73.0,60.557575757575755,14.121212121212121,0.0,29.46109090909091,0.0,5.127272727272727
2019-07-28,34,15,19,122,70,5,30,17,87.8159509202454,75.12269938650307,67.03067484662577,15.773006134969325,0.0,29.43748466257669,0.0,6.895705521472393
2019-08-04,41,19,20,154,54,11,48,18,83.92771084337349,75.92168674698796,77.17469879518072,13.018072289156626,0.0,29.437530120481927,0.0,6.855421686746988
2019-08-11,39,13,17,83,56,8,65,20,84.17901234567901,75.56172839506173,75.41975308641975,9.641975308641975,0.0,28.429197530864197,0.0,6.895061728395062
2019-08-18,41,15,13,125,53,2,35,24,83.31515151515151,75.35757575757576,77.01212121212122,5.915151515151515,0.0,29.500606060606064,0.0,4.872727272727273
2019-08-25,37,22,15,115,60,6,24,18,84.90361445783132,73.81927710843374,70.16867469879519,10.608433734939759,0.0,29.42566265060241,0.0,3.1987951807228914
2019-09-01,28,13,24,114,44,4,14,24,85.0,76.53658536585365,76.48170731707317,7.7682926829268295,0.0,28.427621951219514,0.0,5.182926829268292
2019-09-08,38,22,15,148,48,6,15,26,86.76219512195122,78.29268292682927,75.4390243902439,8.591463414634147,0.0,28.746219512195122,0.0,4.036585365853658
2019-09-15,33,22,18,167,61,5,30,29,87.14545454545454,75.84242424242424,69.69090909090909,11.563636363636364,0.0,29.573454545454545,0.0,2.7454545454545456
2019-09-22,44,22,23,247,31,3,26,21,87.60240963855422,72.0,62.8855421686747,8.873493975903614,0.0,29.62656626506024,0.0,3.0060240963855422
2019-09-29,31,19,25,331,61,1,35,23,85.4601226993865,75.8957055214724,74.62576687116564,5.177914110429448,0.0,29.705828220858898,0.0,5.300613496932515
2019-10-06,33,27,16,246,68,5,30,12,84.55757575757576,71.6969696969697,66.23030303030303,9.4,0.0,29.746727272727274,0.0,3.3575757575757574
2019-10-13,8,4,3,94,26,2,12,1,83.0,63.86046511627907,54.395348837209305,7.744186046511628,0.0,29.84186046511628,0.0,0.9069767441860465
