,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Temperature,Dew Point,Humidity,Wind Speed,Wind,Pressure,IntCondition,Year,Month,Day,date,Date,Event
570,5,2,3,29,4,0,0,0,82.79166667,77.08333333,82.58333333,11.41666667,243.9166667,29.43375,16.41666667,2015,7,26,7/26/2015,2015-07-26,0
571,7,3,5,22,8,0,0,1,79.15789474,71.68421053,72.78947368,14.21052632,259.5789474,29.44210526,15.05263158,2015,7,27,7/27/2015,2015-07-27,0
572,14,5,1,15,14,0,1,3,83.66666667,75.08333333,75.41666667,17.29166667,251.5,29.42875,12.45833333,2015,7,28,7/28/2015,2015-07-28,0
573,9,3,4,20,6,0,2,1,84.95238095,74.19047619,70.61904762,13.33333333,234.8571429,29.46,6.095238095,2015,7,29,7/29/2015,2015-07-29,0
574,2,3,12,8,3,0,0,2,84.0,73.81818182,72.13636364,13.86363636,231.3636364,29.48681818,4.681818182,2015,7,30,7/30/2015,2015-07-30,0
575,5,6,6,16,6,0,0,4,84.4,72.85,68.45,15.0,228.5,29.483,5.5,2015,7,31,7/31/2015,2015-07-31,0
576,5,5,4,19,14,0,0,2,84.29166667,72.25,67.58333333,15.29166667,233.6666667,29.53625,5.166666667,2015,8,1,8/1/2015,2015-08-01,0
577,5,5,4,15,9,0,0,0,84.54545455,70.95454545,63.81818182,13.5,231.3181818,29.59863636,4.636363636,2015,8,2,8/2/2015,2015-08-02,0
578,1,2,1,23,3,1,5,1,84.0,71.30434783,65.2173913,13.30434783,245.7826087,29.59478261,4.652173913,2015,8,3,8/3/2015,2015-08-03,0
579,6,2,3,23,5,1,0,4,84.08333333,71.41666667,64.91666667,15.75,246.8333333,29.555,4.875,2015,8,4,8/4/2015,2015-08-04,0
580,5,3,4,22,3,0,0,1,79.54166667,68.375,64.41666667,16.79166667,243.0833333,29.48375,5.833333333,2015,8,5,8/5/2015,2015-08-05,0
581,5,1,7,34,10,0,3,2,83.09090909,72.27272727,69.13636364,13.40909091,238.4545455,29.45681818,5.5,2015,8,6,8/6/2015,2015-08-06,0
582,4,4,6,22,9,2,1,6,83.0,72.65217391,71.39130435,11.56521739,237.0869565,29.4773913,7.347826087,2015,8,7,8/7/2015,2015-08-07,0
583,6,5,7,22,5,0,0,0,83.04761905,72.14285714,68.47619048,11.28571429,229.5714286,29.49857143,5.0,2015,8,8,8/8/2015,2015-08-08,0
584,5,3,2,21,5,0,2,3,83.25,71.875,68.29166667,12.41666667,233.6666667,29.46125,6.333333333,2015,8,9,8/9/2015,2015-08-09,0
585,3,5,4,28,12,0,1,3,83.80952381,71.61904762,65.80952381,8.142857143,225.1904762,29.47142857,6.428571429,2015,8,10,8/10/2015,2015-08-10,0
586,12,7,7,18,10,0,0,4,84.33333333,71.95833333,67.29166667,6.0,172.5833333,29.55125,5.333333333,2015,8,11,8/11/2015,2015-08-11,0
587,8,7,4,28,10,0,1,1,85.68181818,71.63636364,63.22727273,9.090909091,230.3181818,29.57545455,3.772727273,2015,8,12,8/12/2015,2015-08-12,0
588,8,2,6,23,9,0,3,3,85.45833333,72.875,66.58333333,10.08333333,237.375,29.55875,4.0,2015,8,13,8/13/2015,2015-08-13,0
589,3,4,4,17,5,0,1,4,85.82608696,73.34782609,66.82608696,10.52173913,237.0434783,29.53478261,5.130434783,2015,8,14,8/14/2015,2015-08-14,1
590,1,4,1,17,3,1,1,1,85.94444444,73.72222222,67.44444444,11.0,234.0,29.55166667,4.333333333,2015,8,15,8/15/2015,2015-08-15,0
591,2,4,2,19,4,2,0,2,86.45833333,73.25,65.375,12.41666667,241.2083333,29.595,4.416666667,2015,8,16,8/16/2015,2015-08-16,0
592,8,3,3,33,6,0,0,2,85.86956522,72.82608696,65.60869565,13.04347826,243.7826087,29.57,4.826086957,2015,8,17,8/17/2015,2015-08-17,0
593,5,2,3,24,16,0,3,1,86.08333333,71.41666667,62.29166667,12.75,241.1666667,29.595,3.833333333,2015,8,18,8/18/2015,2015-08-18,0
594,5,2,5,24,11,0,0,3,85.75,71.4,62.65,14.6,235.4,29.6195,4.5,2015,8,19,8/19/2015,2015-08-19,0
595,3,3,5,19,6,1,0,0,84.66666667,71.5,64.95833333,18.20833333,242.0,29.58875,5.416666667,2015,8,20,8/20/2015,2015-08-20,0
596,6,0,3,34,8,1,1,4,83.75,72.91666667,70.0,17.16666667,234.625,29.56125,7.5,2015,8,21,8/21/2015,2015-08-21,0
597,2,6,4,28,6,3,1,6,82.2173913,73.86956522,76.7826087,14.30434783,228.0869565,29.53869565,9.043478261,2015,8,22,8/22/2015,2015-08-22,0
598,7,5,3,28,8,0,2,2,82.47619048,73.38095238,74.28571429,12.95238095,234.8571429,29.54142857,7.095238095,2015,8,23,8/23/2015,2015-08-23,0
599,8,3,3,45,8,0,0,1,84.41666667,72.625,68.20833333,13.625,230.75,29.595,5.166666667,2015,8,24,8/24/2015,2015-08-24,0
600,2,2,4,23,20,0,1,3,83.33333333,72.25,68.5,11.83333333,235.5416667,29.60375,4.625,2015,8,25,8/25/2015,2015-08-25,0
601,3,4,7,27,7,0,1,6,84.375,72.29166667,66.58333333,13.33333333,244.9583333,29.56,5.0,2015,8,26,8/26/2015,2015-08-26,0
602,9,3,4,32,8,0,0,3,84.18181818,72.54545455,68.09090909,11.18181818,228.2272727,29.54954545,5.0,2015,8,27,8/27/2015,2015-08-27,0
603,7,8,1,15,12,0,0,3,84.41666667,72.54166667,67.33333333,15.33333333,228.0833333,29.57875,4.833333333,2015,8,28,8/28/2015,2015-08-28,0
604,10,10,4,23,4,3,3,2,84.66666667,72.41666667,66.41666667,10.20833333,237.3333333,29.5825,4.166666667,2015,8,29,8/29/2015,2015-08-29,0
605,11,6,3,21,3,0,6,4,84.41666667,72.79166667,68.41666667,10.625,229.0416667,29.55875,4.666666667,2015,8,30,8/30/2015,2015-08-30,0
606,4,9,3,38,9,0,6,2,84.13636364,72.40909091,67.81818182,16.77272727,224.1818182,29.585,5.090909091,2015,8,31,8/31/2015,2015-08-31,0
607,7,2,4,28,8,0,0,3,83.65217391,69.73913043,63.56521739,10.30434783,222.3478261,29.58434783,4.260869565,2015,9,1,9/1/2015,2015-09-01,0
608,5,7,3,31,10,0,5,5,83.33333333,68.29166667,61.25,10.75,229.0,29.58,4.833333333,2015,9,2,9/2/2015,2015-09-02,0
609,1,3,2,19,13,0,4,2,83.79166667,69.0,61.83333333,9.583333333,229.0416667,29.64125,4.333333333,2015,9,3,9/3/2015,2015-09-03,0
610,2,1,2,15,4,1,1,2,82.83333333,69.55555556,65.0,5.111111111,232.7777778,29.76666667,3.555555556,2015,9,4,9/4/2015,2015-09-04,0
611,8,5,3,20,10,1,6,4,80.41666667,66.66666667,60.25,11.83333333,247.75,29.77375,2.875,2015,9,5,9/5/2015,2015-09-05,0
612,8,9,6,24,8,1,0,3,84.13043478,71.30434783,64.91304348,13.47826087,243.0434783,29.71608696,4.434782609,2015,9,6,9/6/2015,2015-09-06,0
613,4,6,2,33,7,1,5,2,84.04166667,71.95833333,66.58333333,12.20833333,229.0,29.6825,4.75,2015,9,7,9/7/2015,2015-09-07,0
614,2,1,5,29,4,0,2,4,84.66666667,71.41666667,65.33333333,9.125,230.0,29.685,2.75,2015,9,8,9/8/2015,2015-09-08,0
615,1,3,1,34,8,0,2,2,85.3,71.2,62.75,9.8,234.25,29.6975,2.55,2015,9,9,9/9/2015,2015-09-09,0
616,6,3,4,21,18,0,2,2,84.625,72.33333333,66.625,8.583333333,236.5,29.71875,3.625,2015,9,10,9/10/2015,2015-09-10,0
617,11,4,9,29,6,0,2,2,86.42857143,69.61904762,58.71428571,5.428571429,201.6666667,29.72142857,1.571428571,2015,9,11,9/11/2015,2015-09-11,0
618,4,7,5,60,6,3,0,2,86.47826087,70.26086957,60.82608696,9.043478261,245.7826087,29.70043478,1.260869565,2015,9,12,9/12/2015,2015-09-12,0
619,7,6,7,25,4,0,11,3,85.29166667,71.75,64.5,11.125,242.0416667,29.72,2.208333333,2015,9,13,9/13/2015,2015-09-13,0
620,4,4,1,31,14,0,0,0,85.20833333,72.33333333,65.20833333,11.83333333,239.375,29.66125,4.333333333,2015,9,14,9/14/2015,2015-09-14,0
621,3,4,4,25,7,0,6,5,85.81818182,72.68181818,65.18181818,11.40909091,234.4090909,29.60136364,4.318181818,2015,9,15,9/15/2015,2015-09-15,0
622,0,4,2,16,6,0,2,1,85.04347826,72.0,65.0,8.608695652,236.0,29.60130435,3.47826087,2015,9,16,9/16/2015,2015-09-16,0
623,9,5,0,36,3,0,1,2,85.75,73.20833333,67.125,9.208333333,243.0416667,29.605,2.666666667,2015,9,17,9/17/2015,2015-09-17,0
624,3,1,3,16,4,0,4,3,88.16666667,71.75,60.54166667,6.541666667,235.5,29.6,7.125,2015,9,18,9/18/2015,2015-09-18,0
625,6,1,7,37,7,0,4,5,92.70833333,63.95833333,44.66666667,6.958333333,237.5,29.525,3.708333333,2015,9,19,9/19/2015,2015-09-19,0
626,9,3,6,29,15,0,0,2,93.20833333,59.95833333,37.16666667,7.041666667,144.5416667,29.4725,1.375,2015,9,20,9/20/2015,2015-09-20,0
627,2,8,2,39,6,0,0,0,90.05,69.9,52.8,6.85,125.05,29.489,3.1,2015,9,21,9/21/2015,2015-09-21,0
628,6,1,3,19,10,2,5,5,86.70833333,68.0,56.54166667,5.708333333,115.4583333,29.54125,3.75,2015,9,22,9/22/2015,2015-09-22,0
629,6,4,3,34,7,0,2,1,85.18181818,68.22727273,57.40909091,9.772727273,204.9090909,29.64772727,3.681818182,2015,9,23,9/23/2015,2015-09-23,0
630,2,4,4,37,7,0,0,0,80.75,67.75,61.25,11.125,225.25,29.67375,3.708333333,2015,9,24,9/24/2015,2015-09-24,1
631,5,4,5,24,11,0,1,3,84.54545455,70.72727273,63.5,14.72727273,234.5,29.63272727,4.454545455,2015,9,25,9/25/2015,2015-09-25,1
632,12,3,2,33,6,1,7,2,84.25,71.16666667,64.83333333,12.41666667,234.7083333,29.64875,3.916666667,2015,9,26,9/26/2015,2015-09-26,1
633,6,3,2,10,3,1,2,1,84.2173913,70.7826087,64.56521739,9.391304348,238.0,29.70304348,2.739130435,2015,9,27,9/27/2015,2015-09-27,1
634,1,1,2,15,8,0,17,2,83.25,70.25,65.54166667,7.541666667,218.6666667,29.73,2.291666667,2015,9,28,9/28/2015,2015-09-28,0
635,6,4,0,40,7,0,0,0,84.29166667,68.66666667,61.375,6.25,210.0833333,29.775,1.625,2015,9,29,9/29/2015,2015-09-29,0
636,4,3,4,22,9,0,0,1,87.20833333,53.29166667,39.0,4.791666667,123.9166667,29.83791667,4.291666667,2015,9,30,9/30/2015,2015-09-30,0
637,9,5,4,34,2,0,5,2,91.0,46.13043478,22.69565217,5.347826087,190.0434783,28.52391304,1.130434783,2015,10,1,10/1/2015,2015-10-01,0
638,4,4,4,32,5,0,5,1,88.91304348,50.52173913,29.60869565,4.0,120.5217391,28.51,2.826086957,2015,10,2,10/2/2015,2015-10-02,0
639,10,5,3,37,7,0,7,2,87.33333333,59.16666667,43.125,8.333333333,224.3333333,29.75625,1.875,2015,10,3,10/3/2015,2015-10-03,0
640,5,4,4,59,3,0,16,2,85.04166667,73.58333333,69.54166667,9.875,231.7916667,29.72875,3.541666667,2015,10,4,10/4/2015,2015-10-04,0
641,5,2,2,70,11,1,7,5,84.82608696,72.39130435,66.34782609,7.173913043,227.2173913,29.75130435,4.347826087,2015,10,5,10/5/2015,2015-10-05,0
642,5,3,5,42,9,1,5,4,84.375,71.29166667,65.75,6.375,206.5,29.7525,2.916666667,2015,10,6,10/6/2015,2015-10-06,0
643,7,2,6,44,8,0,5,2,85.04347826,71.91304348,65.73913043,7.173913043,225.2173913,29.75782609,4.260869565,2015,10,7,10/7/2015,2015-10-07,0
644,8,4,3,31,5,0,20,0,85.68181818,72.40909091,66.27272727,8.363636364,242.6818182,29.74590909,4.318181818,2015,10,8,10/8/2015,2015-10-08,0
645,2,2,7,27,12,2,10,1,85.45454545,72.40909091,66.5,8.227272727,225.1363636,29.675,2.818181818,2015,10,9,10/9/2015,2015-10-09,0
646,6,5,3,46,19,0,1,0,85.22727273,72.45454545,66.0,11.09090909,230.3636364,29.64636364,6.136363636,2015,10,10,10/10/2015,2015-10-10,0
647,10,2,7,70,8,0,3,5,85.29166667,73.41666667,68.16666667,8.875,209.3333333,29.70875,4.625,2015,10,11,10/11/2015,2015-10-11,0
648,9,7,6,55,7,0,5,2,85.10526316,71.36842105,63.78947368,6.947368421,195.6315789,29.79736842,3.947368421,2015,10,12,10/12/2015,2015-10-12,0
649,3,5,5,64,6,0,5,1,84.70833333,66.95833333,58.91666667,7.166666667,237.375,29.815,2.416666667,2015,10,13,10/13/2015,2015-10-13,0
650,4,6,4,39,7,0,0,1,85.16666667,68.79166667,60.08333333,8.5,249.625,29.84625,2.0,2015,10,14,10/14/2015,2015-10-14,0
651,5,5,7,64,4,0,9,1,87.33333333,67.70833333,55.0,7.75,250.5416667,29.85291667,2.541666667,2015,10,15,10/15/2015,2015-10-15,0
652,1,3,5,57,2,0,5,1,87.29166667,71.70833333,61.75,8.416666667,249.5,29.85625,2.958333333,2015,10,16,10/16/2015,2015-10-16,0
653,10,2,3,75,8,0,0,1,87.73913043,68.43478261,57.08695652,6.0,210.5652174,29.84521739,3.347826087,2015,10,17,10/17/2015,2015-10-17,0
654,7,6,4,55,3,1,8,8,86.58333333,69.25,60.875,8.75,255.2083333,29.84833333,3.958333333,2015,10,18,10/18/2015,2015-10-18,0
655,12,3,3,62,3,0,17,0,86.0,72.60869565,65.39130435,8.869565217,240.9130435,29.84217391,2.52173913,2015,10,19,10/19/2015,2015-10-19,0
656,3,2,2,44,6,0,10,5,85.79166667,70.91666667,63.20833333,6.708333333,194.3333333,29.79,5.041666667,2015,10,20,10/20/2015,2015-10-20,0
657,7,2,3,36,9,1,1,4,85.83333333,64.79166667,51.79166667,1.958333333,47.91666667,29.79125,3.416666667,2015,10,21,10/21/2015,2015-10-21,0
658,4,0,0,35,9,0,2,2,86.0,62.83333333,47.66666667,5.416666667,160.4583333,29.83083333,4.916666667,2015,10,22,10/22/2015,2015-10-22,0
659,7,1,9,38,3,0,6,2,86.9,65.9,54.45,7.0,234.3,29.816,2.15,2015,10,23,10/23/2015,2015-10-23,1
660,10,7,9,67,8,0,4,2,83.70833333,68.70833333,63.125,8.375,235.5833333,29.775,4.0,2015,10,24,10/24/2015,2015-10-24,1
661,3,3,2,64,4,0,0,4,84.69565217,71.60869565,64.7826087,9.0,222.2173913,29.77478261,3.043478261,2015,10,25,10/25/2015,2015-10-25,0
662,8,5,8,48,8,0,0,2,83.34782609,61.39130435,50.95652174,8.869565217,60.7826087,29.87217391,3.0,2015,10,26,10/26/2015,2015-10-26,0
663,4,2,7,63,7,0,8,3,83.47619048,55.9047619,39.76190476,8.619047619,102.047619,29.89142857,2.571428571,2015,10,27,10/27/2015,2015-10-27,0
664,1,1,1,33,11,1,6,2,82.16666667,54.58333333,39.83333333,9.791666667,44.29166667,28.64708333,1.291666667,2015,10,28,10/28/2015,2015-10-28,0
665,2,3,1,37,8,0,0,1,80.61904762,42.04761905,28.85714286,11.19047619,48.38095238,29.91333333,1.761904762,2015,10,29,10/29/2015,2015-10-29,0
666,5,2,2,46,6,0,5,2,79.0,41.17391304,27.13043478,11.04347826,27.73913043,29.91652174,1.608695652,2015,10,30,10/30/2015,2015-10-30,0
667,5,4,6,58,6,0,7,1,81.14285714,43.80952381,27.95238095,10.14285714,45.28571429,29.88666667,1.0,2015,10,31,10/31/2015,2015-10-31,0
668,2,8,6,80,11,0,5,0,81.91304348,42.73913043,26.2173913,10.2173913,22.82608696,29.87913043,2.826086957,2015,11,1,11/1/2015,2015-11-01,0
669,4,2,3,26,6,0,7,1,82.15789474,45.84210526,28.42105263,8.631578947,19.10526316,29.88210526,4.684210526,2015,11,2,11/2/2015,2015-11-02,0
670,1,4,4,42,5,0,3,0,81.29166667,47.875,32.29166667,5.916666667,109.9166667,29.88083333,7.416666667,2015,11,3,11/3/2015,2015-11-03,0
671,7,2,3,59,18,3,3,4,81.85714286,61.42857143,51.52380952,5.523809524,129.7619048,29.82619048,6.523809524,2015,11,4,11/4/2015,2015-11-04,0
672,4,3,7,45,3,0,0,2,84.41666667,58.5,49.20833333,6.375,157.625,28.58166667,4.75,2015,11,5,11/5/2015,2015-11-05,0
673,3,6,4,31,5,2,1,0,76.08695652,33.43478261,21.34782609,5.826086957,52.0,29.85,1.304347826,2015,11,6,11/6/2015,2015-11-06,0
674,4,3,5,69,15,1,6,1,76.16666667,40.83333333,29.625,4.958333333,63.0,29.88458333,5.416666667,2015,11,7,11/7/2015,2015-11-07,0
675,6,3,7,48,7,0,13,1,76.72727273,44.63636364,34.63636364,4.454545455,59.36363636,29.91681818,7.954545455,2015,11,8,11/8/2015,2015-11-08,0
676,3,6,4,40,3,1,12,1,76.375,46.08333333,37.75,3.0,55.41666667,29.89541667,8.0,2015,11,9,11/9/2015,2015-11-09,0
677,6,5,10,32,8,0,9,1,78.57142857,50.42857143,41.33333333,4.714285714,68.76190476,29.87428571,6.952380952,2015,11,10,11/10/2015,2015-11-10,0
678,9,5,6,60,4,0,12,3,79.375,47.91666667,34.83333333,6.416666667,43.29166667,29.88583333,8.5,2015,11,11,11/11/2015,2015-11-11,0
679,6,4,6,18,11,0,20,0,80.04545455,51.27272727,38.13636364,4.590909091,29.81818182,29.90727273,8.045454545,2015,11,12,11/12/2015,2015-11-12,0
680,5,2,2,22,13,0,0,0,77.875,60.41666667,58.375,10.375,138.9166667,29.90333333,9.166666667,2015,11,13,11/13/2015,2015-11-13,0
681,4,0,3,19,5,1,0,1,79.29166667,66.45833333,66.54166667,5.083333333,109.875,29.83375,11.58333333,2015,11,14,11/14/2015,2015-11-14,0
682,1,12,9,42,8,2,17,0,79.83333333,60.08333333,55.54166667,4.0,121.9166667,29.82,4.333333333,2015,11,15,11/15/2015,2015-11-15,0
683,5,3,6,50,9,0,3,2,79.56521739,50.91304348,42.17391304,6.043478261,97.95652174,29.86913043,4.130434783,2015,11,16,11/16/2015,2015-11-16,0
684,6,5,4,60,1,0,0,2,76.75,42.95833333,32.125,4.5,78.83333333,29.87,4.791666667,2015,11,17,11/17/2015,2015-11-17,0
685,6,5,5,24,11,0,0,2,76.08333333,41.125,35.0,6.291666667,35.83333333,29.9,4.625,2015,11,18,11/18/2015,2015-11-18,0
686,2,1,0,22,12,0,0,0,75.0,33.76190476,24.19047619,5.333333333,24.80952381,29.92,3.333333333,2015,11,19,11/19/2015,2015-11-19,0
687,5,1,3,26,2,2,10,3,75.41666667,36.33333333,25.70833333,5.208333333,41.41666667,29.88916667,1.583333333,2015,11,20,11/20/2015,2015-11-20,0
688,4,1,5,44,4,0,17,3,75.83333333,35.16666667,25.04166667,9.333333333,102.4583333,28.61916667,2.75,2015,11,21,11/21/2015,2015-11-21,0
689,2,3,2,41,6,2,2,1,76.45454545,36.04545455,24.31818182,6.590909091,83.09090909,29.85954545,4.818181818,2015,11,22,11/22/2015,2015-11-22,0
690,3,1,4,67,3,0,1,2,75.56521739,37.56521739,26.86956522,7.304347826,95.2173913,28.58521739,5.565217391,2015,11,23,11/23/2015,2015-11-23,0
691,5,6,6,19,12,3,1,5,76.70833333,40.0,28.20833333,12.625,60.25,29.905,4.416666667,2015,11,24,11/24/2015,2015-11-24,0
692,5,5,3,29,11,0,3,3,77.75,36.41666667,23.79166667,7.833333333,137.25,29.91375,1.791666667,2015,11,25,11/25/2015,2015-11-25,0
693,4,3,2,26,8,0,0,0,72.86956522,32.82608696,26.34782609,5.173913043,115.6521739,29.91869565,4.260869565,2015,11,26,11/26/2015,2015-11-26,0
694,0,4,2,20,7,0,0,0,69.625,35.20833333,29.91666667,3.375,95.83333333,29.88708333,4.791666667,2015,11,27,11/27/2015,2015-11-27,0
695,6,3,4,46,3,0,10,1,70.45833333,35.04166667,34.04166667,6.708333333,35.95833333,29.90791667,2.958333333,2015,11,28,11/28/2015,2015-11-28,0
696,6,3,6,42,1,0,4,0,70.08333333,31.20833333,24.70833333,9.833333333,22.75,29.98,3.041666667,2015,11,29,11/29/2015,2015-11-29,0
697,7,1,5,35,5,1,6,3,71.125,31.83333333,24.70833333,6.708333333,44.25,29.9825,3.333333333,2015,11,30,11/30/2015,2015-11-30,0
698,1,1,6,24,4,1,5,1,71.47826087,37.52173913,30.30434783,3.695652174,139.1304348,28.63565217,4.652173913,2015,12,1,12/1/2015,2015-12-01,0
699,1,3,2,42,23,4,0,0,70.60869565,42.17391304,38.08695652,2.739130435,22.60869565,29.93565217,8.043478261,2015,12,2,12/2/2015,2015-12-02,0
700,4,3,6,56,6,1,1,1,69.09090909,35.04545455,30.18181818,6.727272727,93.22727273,29.96909091,4.318181818,2015,12,3,12/3/2015,2015-12-03,0
701,3,5,5,25,9,3,3,1,71.20833333,51.91666667,53.875,4.583333333,124.875,29.88333333,3.833333333,2015,12,4,12/4/2015,2015-12-04,0
702,8,3,2,34,2,0,7,2,71.66666667,60.25,69.70833333,2.0,46.91666667,29.88833333,5.458333333,2015,12,5,12/5/2015,2015-12-05,0
703,5,7,3,60,5,2,3,1,71.875,55.16666667,60.5,3.25,61.08333333,29.89875,8.458333333,2015,12,6,12/6/2015,2015-12-06,0
704,3,2,2,27,6,1,11,6,70.875,52.16666667,55.04166667,3.5,65.79166667,29.90958333,7.291666667,2015,12,7,12/7/2015,2015-12-07,0
705,2,6,2,37,6,0,0,0,70.86956522,50.30434783,50.82608696,4.086956522,143.0869565,29.90652174,8.130434783,2015,12,8,12/8/2015,2015-12-08,0
706,3,3,7,41,16,0,3,1,72.25,50.83333333,51.125,6.958333333,170.8333333,29.85916667,4.833333333,2015,12,9,12/9/2015,2015-12-09,0
707,11,10,16,31,9,0,9,2,69.26086957,25.17391304,20.13043478,7.086956522,239.0434783,29.90173913,4.043478261,2015,12,10,12/10/2015,2015-12-10,0
708,5,6,3,23,9,0,16,1,67.54166667,20.33333333,17.25,9.166666667,208.4166667,29.86791667,9.916666667,2015,12,11,12/11/2015,2015-12-11,0
709,6,3,2,38,5,2,6,1,64.89473684,22.73684211,23.63157895,6.947368421,34.63157895,29.88526316,8.0,2015,12,12,12/12/2015,2015-12-12,0
710,9,4,7,28,4,0,27,0,61.17391304,28.0,30.0,6.130434783,93.13043478,29.9073913,7.086956522,2015,12,13,12/13/2015,2015-12-13,0
711,4,3,7,37,11,0,21,1,63.66666667,25.66666667,26.25,8.166666667,40.5,28.72458333,6.25,2015,12,14,12/14/2015,2015-12-14,0
712,4,2,5,42,3,1,2,1,62.25,28.58333333,30.70833333,4.416666667,98.625,29.93625,6.541666667,2015,12,15,12/15/2015,2015-12-15,0
713,6,3,4,42,11,1,11,0,67.31818182,45.22727273,46.45454545,5.818181818,147.3181818,29.87772727,5.136363636,2015,12,16,12/16/2015,2015-12-16,0
714,9,3,3,25,7,0,0,2,67.41666667,31.5,34.33333333,5.833333333,23.58333333,29.94166667,4.791666667,2015,12,17,12/17/2015,2015-12-17,0
715,4,8,4,27,12,4,2,1,65.80952381,24.9047619,23.66666667,8.428571429,53.85714286,30.02428571,4.0,2015,12,18,12/18/2015,2015-12-18,0
716,0,0,0,0,0,0,0,0,63.66666667,35.08333333,36.54166667,5.0,115.4583333,29.98375,6.833333333,2015,12,19,12/19/2015,2015-12-19,0
717,3,2,2,43,2,0,16,1,66.0,40.45454545,45.68181818,4.272727273,46.22727273,29.97727273,4.590909091,2015,12,20,12/20/2015,2015-12-20,0
718,5,6,2,53,14,0,6,0,64.0,34.70833333,36.08333333,4.791666667,44.16666667,29.97625,5.375,2015,12,21,12/21/2015,2015-12-21,0
719,5,0,5,48,6,0,13,1,67.0,48.0,51.56521739,3.608695652,79.39130435,30.00608696,5.608695652,2015,12,22,12/22/2015,2015-12-22,0
720,3,3,2,27,3,0,0,0,66.25,27.625,28.54166667,5.0,84.58333333,30.0875,4.791666667,2015,12,23,12/23/2015,2015-12-23,0
721,7,3,5,28,5,0,16,0,62.43478261,21.73913043,22.82608696,7.739130435,71.47826087,30.12608696,1.0,2015,12,24,12/24/2015,2015-12-24,0
722,0,5,2,20,28,2,1,1,61.70833333,27.54166667,29.29166667,3.166666667,57.375,30.08125,3.333333333,2015,12,25,12/25/2015,2015-12-25,1
723,4,1,5,84,15,3,0,3,65.59090909,33.36363636,33.59090909,5.454545455,65.72727273,30.06318182,7.363636364,2015,12,26,12/26/2015,2015-12-26,0
724,5,6,5,63,4,0,14,5,66.0,39.625,41.29166667,2.333333333,44.20833333,30.0675,8.125,2015,12,27,12/27/2015,2015-12-27,0
725,4,5,9,61,18,3,26,1,69.83333333,41.20833333,40.25,5.0,53.58333333,30.085,6.625,2015,12,28,12/28/2015,2015-12-28,0
726,10,2,2,72,9,0,2,3,70.33333333,43.83333333,41.33333333,3.583333333,80.75,30.01625,7.708333333,2015,12,29,12/29/2015,2015-12-29,0
727,7,6,2,56,12,0,4,2,70.375,58.08333333,66.875,2.625,75.125,29.92791667,6.125,2015,12,30,12/30/2015,2015-12-30,0
728,7,5,7,45,18,0,6,1,71.66666667,41.08333333,36.45833333,11.91666667,26.5,29.99875,6.958333333,2015,12,31,12/31/2015,2015-12-31,0
729,0,0,0,0,0,0,0,0,71.41666667,38.16666667,32.125,4.666666667,36.625,30.05375,3.625,2016,1,1,1/1/2016,2016-01-01,0
730,0,0,1,51,0,1,5,5,69.20833333,48.125,49.125,3.5,69.625,30.05625,8.25,2016,1,2,1/2/2016,2016-01-02,0
731,4,4,2,56,1,0,5,1,70.77272727,49.86363636,50.81818182,5.272727273,126.0,29.99909091,6.909090909,2016,1,3,1/3/2016,2016-01-03,0
732,7,6,6,47,6,0,12,1,69.625,60.75,75.25,5.416666667,192.4166667,29.96375,10.20833333,2016,1,4,1/4/2016,2016-01-04,0
733,5,5,4,39,15,0,5,1,72.04347826,56.65217391,63.60869565,4.826086957,95.95652174,29.96043478,12.91304348,2016,1,5,1/5/2016,2016-01-05,0
734,6,3,6,61,2,0,12,2,69.625,53.20833333,57.20833333,3.916666667,89.16666667,29.93208333,8.25,2016,1,6,1/6/2016,2016-01-06,0
735,0,0,0,0,0,0,0,0,71.77272727,54.95454545,56.45454545,5.863636364,90.22727273,28.64045455,9.318181818,2016,1,7,1/7/2016,2016-01-07,0
736,8,2,7,39,8,3,2,2,69.91304348,51.08695652,52.39130435,6.043478261,163.5217391,30.03608696,6.869565217,2016,1,8,1/8/2016,2016-01-08,0
737,7,2,5,88,9,0,3,3,68.375,54.5,62.95833333,6.125,138.0833333,29.94166667,6.125,2016,1,9,1/9/2016,2016-01-09,0
738,7,3,12,68,8,1,1,0,69.04166667,57.41666667,68.33333333,6.208333333,190.5,29.91708333,4.791666667,2016,1,10,1/10/2016,2016-01-10,0
739,9,5,7,64,18,0,0,4,68.33333333,56.83333333,65.25,6.666666667,180.2916667,29.93041667,7.375,2016,1,11,1/11/2016,2016-01-11,0
740,12,3,12,61,8,0,0,0,73.08333333,47.875,50.70833333,6.791666667,224.2083333,29.87583333,7.25,2016,1,12,1/12/2016,2016-01-12,0
741,9,1,5,42,15,0,1,2,68.39130435,34.26086957,31.95652174,6.347826087,46.08695652,28.61521739,4.347826087,2016,1,13,1/13/2016,2016-01-13,0
742,2,5,6,70,18,0,8,2,66.41666667,39.375,39.08333333,4.75,96.83333333,29.90916667,4.5,2016,1,14,1/14/2016,2016-01-14,0
743,7,4,8,16,7,0,10,2,65.85714286,46.38095238,51.19047619,5.142857143,64.47619048,29.92047619,5.0,2016,1,15,1/15/2016,2016-01-15,0
744,3,5,6,63,11,0,2,1,66.91666667,48.25,51.5,5.291666667,103.3333333,29.87958333,5.666666667,2016,1,16,1/16/2016,2016-01-16,0
